javadoc,code,method_name,parameters,return_type,return_variable,called_methods,local_variables,thrown_exceptions,class_name
"/*** Create a wired robot without parts
* with the given order
* @param comp order to use, if null, then unordered
*/","public WiredRobot(Comparator<FunctionalPart> comp) {

if(comp == null)
{
comp = (p1,p2) -> 0;
}
comparator = comp;
root = null;
assert wellFormed() : ""Invariant not established by constructor"";
}",WiredRobot,Comparator<FunctionalPart> comp,public,,['wellFormed'],[],[],
"/*** Return the 0-based index part from the subtree given that
* matches the given function.  The mutable index should be decremented
* for every part we find that matches, so that if we find a match
* when it is zero we return that one.  Once we find the result, we stop
* looking (and stop decrementing).  If there is no such functional part,
* this method returns null.
* @param r subtree to examine, may be null
* @param function kind of part to look for, null means any part
* @param mutableIndex index to look for (0-based); decremented whenever a matching
*   part is encountered in in-order traversal until the desired index.
* @return 0-based matching part, may be null
*/","private static FunctionalPart getHelper(FunctionalPart r, String function, Cell<Integer> mutableIndex)
{
if(r == null)
{
return null;
}

//r.left first, r second, r.right third
//First go into the left subtree to find the function.  Delegate, don't micromanage
FunctionalPart tempLeft = getHelper(r.left, function, mutableIndex);
if(tempLeft !=null) return tempLeft;

if(function == null || r.function.equals(function))
{
if(mutableIndex.get() == 0)return r;
mutableIndex.set(mutableIndex.get()-1);
}

FunctionalPart tempRight = getHelper(r.right, function,mutableIndex);
if(tempRight != null)return tempRight;

return null;
// Use recursion.  Do not micro-manage!
// Never check a child for null or look at its function.
}",getHelper,"FunctionalPart r, String function, Cell<Integer> mutableIndex",FunctionalPart,null,"['equals', 'get', 'set']","['null', 'tempLeft', 'tempLeft', 'r', 'tempRight', 'tempRight', 'null']",[],
"/*** Helper method for addPart.
* @param r
* @param add
* @return r
*/","private FunctionalPart insert(FunctionalPart r, FunctionalPart add)
{

if(r==null)
{
r=add;
}
else if(compare(add,r) < 0)
{
r.left = insert(r.left,add);
}
else//if(compare(add,r) > 0)
{
r.right = insert(r.right,add);
}
return r;
}",insert,"FunctionalPart r, FunctionalPart add",FunctionalPart,r,['compare'],['r'],[],
"/*** Gets the radius.
*
* @return the radius
*/",public int getRadius(){return radius;},getRadius,,int,radius,[],['radius'],[],Ball
"/*** Getter for deltay field.
*
* @return the current deltay value
*/","public double dy(){
return this.deltay;
}",dy,,double,this.deltay,[],[],[],Vector
"/*** Return the first part in this robot.
* @return the first part, null if this robot is empty
*/","public FunctionalPart getFirst()
{
assert wellFormed():""invariant broken in getFirst"";
if(root == null)
{
return null;
}
FunctionalPart getter = root;
while(getter.left != null)
{
getter = getter.left;
}
assert wellFormed():""invariant broken in getFirst"";
return getHelper(getter,null, new Cell<>(0));
}",getFirst,,FunctionalPart,null,"['wellFormed', 'getHelper']","['null', 'getter']",[],
"/*** Change the comparator used to order the robot parts.
* The parts will be reorganized as necessary to accommodate the new order,
* but two parts will be reordered only if necessary.
* (The sorting is ""stable"".)
* @param comp comparator to use, if null, then henceforth the parts
* can be in any order.
*/","public void setComparator(Comparator<FunctionalPart> comp) {
assert wellFormed() : ""invariant broken in setComparator"";
//: Complete this!
// Hint: After handling special easy case,
//   reinsert all parts back into an emptied tree
//      in pre-order over the tree.
//      This requires a new helper method.

comparator = comp;
if(root == null)return;
FunctionalPart savedRoot = root;
root = null;
compHelper(savedRoot);

assert wellFormed() : ""invariant broken by setComparator"";
}",setComparator,Comparator<FunctionalPart> comp,void,,"['wellFormed', 'compHelper']",['savedRoot'],[],
"/**Change the stored value to the given value.
* @param newValue new value for cell, may be null
*/","public void set(T newValue) {
value = newValue;
}",set,T newValue,void,,[],[],[],
"/*** Return the function of this part.
* @return string of this part, null if this part not in a robot
*/","public String getFunction() {
return function;
}",getFunction,,String,function,[],['function'],[],
"/*** Return the next part in this robot.
* This is valid only if the part is in a robot.
* @return the next part, possibly null
* @exception IllegalStateException if this part is not a part of a robot
*/","public FunctionalPart getNext() {

if(this.getFunction() == null)throw new IllegalStateException(""Part is not in the robot"");
FunctionalPart cur = this;

if(cur.right != null)
{
if(cur.right.left != null)
{
cur = cur.right.left;
while(cur.left !=null)
{
cur = cur.left;
}

return cur;
}
cur = cur.right;
return cur;
}

else{
if(cur.parent == null)return null;
if(cur.parent.left == cur)
{
cur = cur.parent;
}
else
{
if(cur.parent == null)return null;
while(cur.parent.left != cur)
{
cur = cur.parent;
if(cur.parent == null)return null;
}
cur = cur.parent;
}

return cur;
}
}",getNext,,FunctionalPart,cur,"['getFunction', 'IllegalStateException']","['cur', 'cur', 'cur', 'null', 'null', 'null', 'cur']",['IllegalStateException'],
"/*** Compare two parts according to our purposes.
* We use the supplied comparator except when it
* says it doesn't care, in which case, we use the (unique) id to
* distinguish two parts, older first.
* @param p1 first part, must not be null
* @param p2 second part, must not be null
* @return comparison, only 0 if p1 and p2 are the same
*/","private int compare(FunctionalPart p1, FunctionalPart p2) {
if (comparator != null) {
int c= comparator.compare(p1, p2);
if (c != 0) return c;
}
return p1.getId() - p2.getId();
}",compare,"FunctionalPart p1, FunctionalPart p2",int,c,['getId'],"['c', 'c']",[],
"/*** Check a tree of parts within bounds.
* The subtree must be properly ordered, and every part
* must have a non-null function assigned.
* @param r root of subtree to check, may be null
* @param lo lower bound (exclusive) of all parts in subtree.
*   If null, then no lower bound
* @param hi upper bound (exclusive) of all parts in subtree.
*   If null, then no upper bound
* @param p the parent part
* @return whether the subtree checks out OK.
* If false is returned, then exactly one report has been generated.
*/","private boolean checkInRange(FunctionalPart r, FunctionalPart lo, FunctionalPart hi, FunctionalPart p) {
if (r == null) return true;
if (r.function == null) return report(""Has null function: "" + r);
if (lo != null && compare(lo, r) >= 0) return report(""Out of lo bound: "" + r + "" <= "" + lo);
if (hi != null && compare(r,hi) >= 0) return report(""Out of hi bound: "" + r + "" >= "" + hi);

//Checking if the roots parent is equal to the parent parameter
if(r.parent != p)return report(""Out of root bound"");

//r goes into the p param because when you move down the tree the root variable becomes the parent
return checkInRange(r.left, lo, r,r) && checkInRange(r.right, r, hi,r);
}",checkInRange,"FunctionalPart r, FunctionalPart lo, FunctionalPart hi, FunctionalPart p",boolean,true,"['report', 'compare']",['true'],[],
"/*** Create a wired robot without parts
* and no order.
*/","public WiredRobot() {
this(null);
}",WiredRobot,,public,,[],[],[],
"/*** Create a wired robot without parts
* with the given order
* @param comp order to use, if null, then unordered
*/","public WiredRobot(Comparator<FunctionalPart> comp) {
comparator = comp;
assert wellFormed() : ""Invariant not established by constructor"";
}",WiredRobot,Comparator<FunctionalPart> comp,public,,['wellFormed'],[],[],
"/*** Return the first part in this robot.
* @return the first part, null if this robot is empty
*/","public FunctionalPart getFirst() {
assert wellFormed() : ""invariant broken in getFirst"";
FunctionalPart r = root;
while (r != null && r.left != null) {
r = r.left;
}
return r;
}",getFirst,,FunctionalPart,r,['wellFormed'],"['r', 'r']",[],
"/*** Translates the parameter point by this vector.
*
* @param p the point to translate
* @return the  translated point
*/","public Point move(Point p){
return new Point(p.x() + this.dx(), p.y() + this.dy());
}",move,Point p,Point,"new Point(p.x() + this.dx(), p.y() + this.dy())","['Point', 'x', 'dx', 'y', 'dy']",[],[],Vector
"/*** Return the 0-based index part from the subtree given that
* matches the given function.  The mutable inex should be decremented
* for every part we find that matches, so that if we find a match
* when it is zero we return that one.  Once we find the result, we stop
* looking (and stop decrementing).  If there is no such functional part,
* this method returns null.
* @param r subtree to examine, may be null
* @param function kind of part to look for, null means any part
* @param mutableIndex index to look for (0-based); decremented whenever a matching
*   part is encountered in in-order traversal until the desired index.
* @return 0-based matching part, may be null
*/","private static FunctionalPart getHelper(FunctionalPart r, String function, Cell<Integer> mutableIndex) {
if (r == null) return r;
FunctionalPart result = getHelper(r.left, function, mutableIndex);
if (result != null) return result;
if (function == null ||function.equals(r.function)) {
int index = mutableIndex.get();
if (index == 0) return r;
mutableIndex.set(index-1);
}
return getHelper(r.right, function, mutableIndex);
}",getHelper,"FunctionalPart r, String function, Cell<Integer> mutableIndex",FunctionalPart,r,"['equals', 'get', 'set']","['r', 'result', 'result', 'index', 'r']",[],
"/***	A method that removes a part with the assistance of a removal helper method
* @param p
* @return ture if part is removed
* @return false if part is not removed
*/","public boolean remove(Part p)
{
if(root == null)return false;

assert wellFormed():""invariant broken at the start of remove"";

//check if the part is even in the robot
FunctionalPart traverse = getFirst();
if(traverse.getNext()!=null && !traverse.equals((FunctionalPart)p))
{
traverse = traverse.getNext();
while(traverse !=null)
{
if(traverse.equals((FunctionalPart)p))break;
traverse = traverse.getNext();
}
}
if(traverse != (FunctionalPart)p || traverse == null)return false;

FunctionalPart saveRoot = root;
FunctionalPart holdP = (FunctionalPart) p;
if(holdP.getFunction() ==null)return false;

p = doRemove(root,(FunctionalPart) p);
assert wellFormed():""invariant broken at the end of remove"";

//check the root
//check the parent
//if niether is different return false
if(saveRoot != null && !saveRoot.equals(root)){
return true;
}
else if(p != null && p.equals(holdP))
{
return false;
}
else return false;
}",remove,Part p,boolean,false,"['wellFormed', 'getFirst', 'getNext', 'equals', 'getFunction', 'doRemove']","['false', 'traverse', 'false', 'saveRoot', 'holdP', 'false', 'true', 'false', 'false']",[],
"/*** Change the comparator used to order the robot parts.
* The parts will be reorganized as necessary to accommodate the new order,
* but two parts will be reordered only if necessary.
* (The sorting is ""stable"".)
* @param comp comparator to use, if null, then henceforth the parts
* can be in any order.
*/","public void setComparator(Comparator<FunctionalPart> comp) {
assert wellFormed() : ""invariant broken in setComparator"";
if (comp != comparator) {
comparator = comp;
FunctionalPart saved = root;
root = null;
reInsertAll(saved);
}
assert wellFormed() : ""invariant broken by setComparator"";
}",setComparator,Comparator<FunctionalPart> comp,void,,"['wellFormed', 'reInsertAll']",['saved'],[],
"/*** Return the number of nodes in this subtree.
* If the subtree isn't null, we use the stored `count' field rather than
* computing the count.
* @param r subtree to count nodes for, must not be null
* @return count of nodes in this subtree
*/","private static int getCount(Node<?> r) {
if (r == null) return 0;
return r.count;
}",getCount,Node<?> r,int,0,[],[],[],
"/*** Check that a subtree's count and parent fields are correct.
* @param r subtree to check
* @param p what the parent should be.
* @return whether any problems ere found.  If false is returned than
* exactly one problem has been reported.
*/","private boolean checkTree(Node<T> r, Node<T> p) {
if (r == null) return true;
if (r.parent != p) return report(""parent is wrong for "" + r);
if (r.count != getCount(r.left) + getCount(r.right) + 1) {
return report(""computed count "" + r.count + "" not consistent with subtrees"");
}
return checkTree(r.left, r) && checkTree(r.right, r);
}",checkTree,"Node<T> r, Node<T> p",boolean,true,"['report', 'getCount']",['true'],[],
"/*** Create a maze of the given size, in which everything is blocked.
* @param rows number of rows, must be positive
* @param columns number of columns, must be positive
*/","public Maze(int rows, int columns) {
if (rows < 1 || columns < 1) throw new IllegalArgumentException(""Maze must not be empty"");
this.rows = rows;
this.columns = columns;
ropen = new boolean[rows-1][columns];
copen = new boolean[rows][columns-1];
}",Maze,"int rows, int columns",public,,['IllegalArgumentException'],[],['IllegalArgumentException'],
"/*** Is this cell open to the left?
* As a special case, the bottom left cell is open to the left
* (this is the maze entry).
* @param i row
* @param j column
* @return whether there is an opening to the left.
* @exception IllegalArgumentException if coordinates out of range.
*/","public boolean isOpenLeft(int i, int j) {
checkCell(i,j);
if(j==0 && rows()-1 == i)return true;//special case

if(j==0) return false;
else if(copen[i][j-1])return true;
else return false;
}",isOpenLeft,"int i, int j",boolean,true,"['checkCell', 'rows']","['true', 'false', 'true', 'false']",[],
"/*** Is this cell open to the right?
* @param i row
* @param j column
* @return whether there is an opening to the right.
* @exception IllegalArgumentException if coordinates out of range.
*/","public boolean isOpenRight(int i, int j) {

checkCell(i,j);

if(j>=copen[0].length)return false;
else if(copen[i][j])return true;
else return false;
}",isOpenRight,"int i, int j",boolean,false,['checkCell'],"['false', 'true', 'false']",[],
"/*** Is this cell open above?
* As special case, the top right cell is open above
* (this is the maze exit).
* @param i row
* @param j column
* @return whether there is an opening going up
* @exception IllegalArgumentException if coordinates out of range.
*/","public boolean isOpenUp(int i, int j) {

checkCell(i,j);
if(i==0&&j==columns()-1)return true;

if(i==0)return false;
else if(ropen[i-1][j])return true;
else return false;
}",isOpenUp,"int i, int j",boolean,true,"['checkCell', 'columns']","['true', 'false', 'true', 'false']",[],
"/*** Is this cell open below?
* @param i row
* @param j column
* @return whether there is an opening down down
* @exception IllegalArgumentException if coordinates out of range.
*/","public boolean isOpenDown(int i, int j) {

checkCell(i,j);
if(i>=ropen.length)return false;
else if(ropen[i][j])return true;
else return false;
}",isOpenDown,"int i, int j",boolean,false,['checkCell'],"['false', 'true', 'false']",[],
"/*** Adds the parameter vector with this vector.
*
* @param v the vector to add
* @return the vector sum
*/","public Vector add(Vector v){
return new Vector(this.dx() + v.dx(), this.dy() + v.dy());
}",add,Vector v,Vector,"new Vector(this.dx() + v.dx(), this.dy() + v.dy())","['Vector', 'dx', 'dy']",[],[],Vector
"/*** Read in contents of a maze printed with ASCII graphics from the file.
* The rows and columns are already set (do not read these).
* Example (assuming rows = 3, columns = 4)
* <pre>
* +-+-+-+ +
* |   |   |
* + + + +-+
* | |     |
* + +---+ +
*       | |
* +-----+-+
* </pre>
* @param r buffered reader to read lines from
* @throws IOException if a problem happens with reading
* @throws ParseException if the maze is badly formatted.
* (The implementation is also permitted to simply overlook
* format errors)
*/","public void read(BufferedReader r) throws IOException {
//read() will return the ascii value of the character
String reader;
r.readLine();
for(int i =0; i < rows;i++) {//rows
reader=r.readLine();
for (int j = 2; j < reader.length();j+=2)//columns
{
char ha = reader.charAt(j);
if(ha == ' ')setOpenRight(i,(j/2)-1,true);
}
if(i!=rows-1) {//rows
reader = r.readLine();
for (int j = 1; j < reader.length(); j+=2)
{
char ha =reader.charAt(j);
if(ha == ' ')setOpenDown(i,j/2,true);
}
}

}
}",read,BufferedReader r,void,"the ascii value of the character
String reader","['readLine', 'length', 'charAt', 'setOpenRight', 'setOpenDown']","['reader', 'i', 'reader', 'j', 'ha', 'reader', 'j', 'ha']",[],
"/*** Write out the maze in a specific textual and human readable form.
* For example:
* <pre>
* +-+-+-+ +
* |   |   |
* + + + +-+
* | |     |
* + +---+ +
*       | |
* +-----+-+
* </pre>
*
* @param pw print writer to write to, must not be null
*/","public void write(PrintWriter pw) {
int copenCount =0;
int ropenCount=0;
StringBuilder table = new StringBuilder();

for(int i =0; i < rows()*2+1; i++)//change second condition
{
//special cases
if(i ==0)//first line
{
for(int a=0;a < columns()*2+1;a++)
{
if(a == columns()*2-1) table.append("" "");
else if(a%2==0) table.append(""+"");
else table.append(""-"");
}
}
else if(i == rows()*2-1)//second to last line
{
for(int b =0;b < columns()*2+1;b++)
{
if(b==0 || b%2==1)table.append("" "");
else{
if(isOpenRight(ropenCount,copenCount))table.append("" "");
else table.append(""|"");
copenCount++;
}
}
copenCount=0;
}

//Main cases
else if(i%2==1)//copen
{
for(int d=0; d <columns()*2+1;d++)
{
if(d == 0 || d == columns()*2) table.append(""|"");
else if(d%2==0)
{
if(isOpenRight(ropenCount,copenCount)) table.append("" "");
else table.append(""|"");
copenCount++;
}
else table.append("" "");
}
copenCount=0;
}
else if(i%2==0)//ropen
{
for (int e = 0; e < columns() * 2 + 1; e++) {
if (e % 2 == 1) {
if (isOpenDown(ropenCount, copenCount)) table.append("" "");
else table.append(""-"");
copenCount++;
} else table.append(""+"");
}
ropenCount++;
copenCount = 0;
if(i == rows()*2)
{
table.append(""\n"");
String finalMaze = table.toString();
pw.write(finalMaze);
}
}
table.append(""\n"");
}
}",write,PrintWriter pw,void,,"['StringBuilder', 'rows', 'columns', 'append', 'isOpenRight', 'isOpenDown', 'toString']","['copenCount', 'ropenCount', 'table', 'i', 'a', 'b', 'd', 'e', 'finalMaze']",[],
"/*** Clear maze (everything is the same open/closed).
* @param open whether everything should be open (or closed)
*/","public void clear(boolean open) {
for (int i = 0; i < rows; ++i) {
for (int j=0; j < columns; ++j) {
if (i+1 != rows) ropen[i][j] = open;
if (j+1 != columns) copen[i][j] = open;
}
}
}",clear,boolean open,void,,[],"['i', 'j']",[],
"/*** Exception thrown by {@link #read} if it notices a problem.
*
*/",public static class ParseException extends IOException {,unknown,,unknown,,[],[],[],
"/*** Keep Eclipse happy
*/","private static final long serialVersionUID = 1L;

public ParseException(String s) { super(s); }
}",ParseException,String s,public,,[],['serialVersionUID'],[],
"/**Create a cell for row i and column j.
* This is a convenience method for creating new cells,
* since the Java syntax for doing so in a different class is tricky.
* You don't need to use this method.
* @param i row
* @param j column
* @return new Cell(i,j)
*/","public Cell makeCell(int i, int j) {
return new Cell(i,j);
}",makeCell,"int i, int j",Cell,"new Cell(i,j)",['Cell'],[],[],
"/*** Set the displayed solution to the argument
* @param sd (may be null -- show no solution)
*/","public void setSolution(SolutionDisplay sd) {
solution = sd;
}",setSolution,SolutionDisplay sd,void,,[],[],[],
"/*** Create a maze solver for this maze.
*
* @param m maze to solve, must not be null
*/","public MazeSolver(Maze m) {
maze = m;
visited = new Cell[maze.rows()][maze.columns()];
}",MazeSolver,Maze m,public,,"['rows', 'columns']",[],[],
"/*** Try to find a path, and return a solution display:
* either a path solution display, if a path was found,
* or a visited solution display if no path was found.
*
* @return solution display (must not be null)
*/","public SolutionDisplay findPath() {
int rows = maze.rows();
int columns = maze.columns();
Stack<Maze.Cell> prev = new Stack<Cell>();

Cell cur = maze.makeCell(rows - 1, 0);
prev.push(cur);
visited[rows-1][0] = cur;

Cell look = null;
boolean winner = false;
ArrayList<Cell> path = new ArrayList<>(rows * columns);

int saveSize=pending.size();

boolean noAdded=false;

while (!winner) {
//Special case for if solution is reached
if (cur.row == 0 && cur.column == columns - 1) {
winner = true;
break;
}
noAdded = doPending(cur);
if(pending.isEmpty())break;

look = pending.peek();
if(!noAdded) {
prev = doPrev(prev, cur, look);
}

// If the cell has not been visited then we jump there
if (visited[look.row][look.column] == null) {
cur = pending.pop();
prev.push(cur);
visited[cur.row][cur.column] = cur;
} else pending.pop();

}

if (winner) {

for(int i = prev.search(visited[rows-1][0])-1; i > -1; i--)
{
path.add(0,prev.pop());
}
return new PathSolutionDisplay(maze, path);
} else {
boolean[][] marked = new boolean[rows][columns];
for (int i = 0; i < visited.length; i++) {
for (int j = 0; j < visited[i].length; j++) {
if (visited[i][j] == null) marked[i][j] = false;
else marked[i][j] = true;
}
}
return new VisitedSolutionDisplay(maze, marked);
}
}",findPath,,SolutionDisplay,"new PathSolutionDisplay(maze, path)","['rows', 'columns', 'makeCell', 'push', 'size', 'doPending', 'isEmpty', 'peek', 'doPrev', 'pop', 'search', 'add', 'PathSolutionDisplay', 'VisitedSolutionDisplay']","['rows', 'columns', 'prev', 'cur', 'look', 'winner', 'path', 'saveSize', 'noAdded', 'i', 'marked', 'i', 'j']",[],
"/*** Takes the dot product of this vector and the parameter vector.
*
* @param v the other vector
* @return the dot product
*/","public double dot(Vector v){
return this.dx() * v.dx() + this.dy() * v.dy();
}",dot,Vector v,double,this.dx() * v.dx() + this.dy() * v.dy(),"['dx', 'dy']",[],[],Vector
"/*** Scales this vector by the parameter.
*
* @param s the constant to scale by
* @return the scaled vector
*/","public Vector scale(double s){
return new Vector(s * this.dx(), s * this.dy());
}",scale,double s,Vector,"new Vector(s * this.dx(), s * this.dy())","['Vector', 'dx', 'dy']",[],[],Vector
"/*** Finds the magnitude of this vector.
*
* @return how long this vector is (never negative).
*/","public double magnitude(){
double temp = this.dx() * this.dx() + this.dy() * this.dy();
return Math.sqrt(temp);
}",magnitude,,double,Math.sqrt(temp),"['dx', 'dy', 'sqrt']",['temp'],[],Vector
"/*** Normalizes this vector.
*
* @return a vector with the same angle but magnitude of one.
*/","public Vector normalize(){
double magnitude = this.magnitude();
return new Vector(this.dx() / magnitude, this.dy() / magnitude);
}",normalize,,Vector,"new Vector(this.dx() / magnitude, this.dy() / magnitude)","['magnitude', 'Vector', 'dx', 'dy']",['magnitude'],[],Vector
"/*** gets angle theta
*
* @return angle of vector off x axis
*/","public double theta() {

if(this.dx() == 0 && this.dy() > 0)
return Math.PI/2;
else if(this.dx() == 0)
return Math.PI * 3 / 2;

double theta = Math.atan(this.dy() / this.dx());
if(this.dx() < 0)
theta += Math.PI;
return theta;
}",theta,,double,Math.PI/2,"['dx', 'dy', 'atan']","['theta', 'theta']",[],Vector
"/*** Rotates this vector clockwise by the parameter angle (in radians).
*
* @param theta the angle to rotate (in radians)
* @return the rotated vector
*/","public Vector rotate(double theta){
double angle = this.theta() + theta;
Vector v = new Vector(angle);
return v.scale(this.magnitude());
}",rotate,double theta,Vector,v.scale(this.magnitude()),"['theta', 'Vector', 'scale', 'magnitude']","['angle', 'v']",[],Vector
"/*** Compute the angle of this vector, in radians,
* clockwise from the x-axis.
*
* @return the angle in range [0,2Pi)
*/","public double angle() {
double magn = magnitude();
if (magn == 0.0) return 0;
double alpha = Math.acos(dx()/magn);
if(dy() < 0) alpha = 2*Math.PI-alpha;
return alpha;
}",angle,,double,0,"['magnitude', 'acos', 'dx', 'dy']","['magn', 'alpha', 'alpha']",[],Vector
"/*** Return the current movement of the ball.
*
* @return the current movement
*/",public Vector getMove(){return move;},getMove,,Vector,move,[],['move'],[],Ball
"/*** Initialize an empty sequence with an initial capacity of INITIAL_CAPACITY.
* The append method works
* efficiently (without needing more memory) until this capacity is reached.
* @param - none
* @postcondition
*   This sequence is empty and has an initial capacity of INITIAL_CAPACITY
* @exception OutOfMemoryError
*   Indicates insufficient memory for initial array.
**/","public BallSeq( )
{
this(INITIAL_CAPACITY);
assert wellFormed() : ""Invariant false at end of constructor"";
}",BallSeq,,public,,['wellFormed'],[],[],BallSeq
"/*** Initialize an empty sequence with a specified initial capacity. Note that
* the append method works
* efficiently (without needing more memory) until this capacity is reached.
* @param initialCapacity
*   the initial capacity of this sequence
* @precondition
*   initialCapacity is non-negative.
* @postcondition
*   This sequence is empty and has the given initial capacity.
* @exception IllegalArgumentException
*   Indicates that initialCapacity is negative.
* @exception OutOfMemoryError
*   Indicates insufficient memory for an array with this many elements.
*   new Ball[initialCapacity].
**/","public BallSeq(int initialCapacity)
{
if(initialCapacity < 0) throw new IllegalArgumentException(""Inital Capacity must be non-negative"");

data = new Ball[initialCapacity];
manyItems = 0;
currentIndex = 0;
assert wellFormed() : ""Invariant false at end of constructor"";
}",BallSeq,int initialCapacity,public,,"['IllegalArgumentException', 'wellFormed']",[],['IllegalArgumentException'],BallSeq
"/*** Determine the number of elements in this sequence.
* @param - none
* @return
*   the number of elements in this sequence
**/","public int size( )
{
assert wellFormed() : ""invariant failed at start of size"";

return manyItems;
}",size,,int,manyItems,['wellFormed'],['manyItems'],[],BallSeq
"/*** The first element (if any) of this sequence is now current.
* @param - none
* @postcondition
*   The front element of this sequence (if any) is now the current element (but
*   if this sequence has no elements at all, then there is no current
*   element).
**/","public void start( )
{
assert wellFormed() : ""invariant failed at start of start"";

currentIndex = 0;
assert wellFormed() : ""invariant failed at end of start"";
}",start,,void,,['wellFormed'],[],[],BallSeq
"/*** Accessor method to determine whether this sequence has a specified
* current element (a Ball or null) that can be retrieved with the
* getCurrent method. This depends on the status of the cursor.
* @param - none
* @return
*   true (there is a current element) or false (there is no current element at the moment)
**/","public boolean isCurrent( )
{
assert wellFormed() : ""invariant failed at start of isCurrent"";

return currentIndex < manyItems;
}",isCurrent,,boolean,currentIndex < manyItems,['wellFormed'],[],[],BallSeq
"/*** Accessor method to get the current element of this sequence.
* @param - none
* @precondition
*   isCurrent() returns true.
* @return
*   the current element of this sequence, possibly null
* @exception IllegalStateException
*   Indicates that there is no current element, so
*   getCurrent may not be called.
**/","public Ball getCurrent( )
{
assert wellFormed() : ""invariant failed at start of getCurrent"";

if(!isCurrent()) throw new IllegalStateException(""No current element found"");

return data[currentIndex];

}",getCurrent,,Ball,data[currentIndex],"['wellFormed', 'isCurrent', 'IllegalStateException']",[],['IllegalStateException'],BallSeq
"/*** Move forward, so that the next element is now the current element in
* this sequence.
* @param - none
* @precondition
*   isCurrent() returns true.
* @postcondition
*   If the current element was already the end element of this sequence
*   (with nothing after it), then there is no longer any current element.
*   Otherwise, the new current element is the element immediately after the
*   original current element.
* @exception IllegalStateException
*   If there was no current element, so
*   advance may not be called (the precondition was false).
**/","public void advance( )
{
assert wellFormed() : ""invariant failed at start of advance"";

if(!isCurrent()) throw new IllegalStateException(""Can not advance"");
if(data.length > currentIndex)
currentIndex++;

assert wellFormed() : ""invariant failed at end of advance"";
}",advance,,void,,"['wellFormed', 'isCurrent', 'IllegalStateException']",[],['IllegalStateException'],BallSeq
"/*** Remove the current element from this sequence.
* @param - none
* @precondition
*   isCurrent() returns true.
* @postcondition
*   The current element has been removed from this sequence, and the
*   following element (if there is one) is now the new current element.
*   If there was no following element, then there is now no current
*   element.
* @exception IllegalStateException
*   Indicates that there is no current element, so
*   removeCurrent may not be called.
**/","public void removeCurrent( )
{
assert wellFormed() : ""invariant failed at start of removeCurrent"";

if(!isCurrent()) throw new IllegalStateException(""No current element"");


for(int i = currentIndex; i < manyItems-1; i++) {
data[i] = data[i+1];
}
data[manyItems-1] = null;
manyItems--;
assert wellFormed() : ""invariant failed at end of removeCurrent"";
}",removeCurrent,,void,,"['wellFormed', 'isCurrent', 'IllegalStateException']",['i'],['IllegalStateException'],BallSeq
"/*** Change the current capacity of this sequence if needed.
* @param minimumCapacity
*   the new capacity for this sequence
* @postcondition
*   This sequence's capacity has been changed to at least minimumCapacity.
*   If the capacity was already at or greater than minimumCapacity,
*   then the capacity is left unchanged.
*   If the capacity is changed, it must be at least twice as big as before.
* @exception OutOfMemoryError
*   Indicates insufficient memory for: new array of minimumCapacity elements.
**/","private void ensureCapacity(int minimumCapacity)
{
if(data.length >= minimumCapacity) return;

int newSize = data.length * 2;
if (newSize < minimumCapacity) newSize = minimumCapacity;

Ball[] newArray = new Ball[newSize];
for(int i = 0; i < data.length; i++) {
newArray[i] = data[i];
}
data = newArray;
}",ensureCapacity,int minimumCapacity,void,,[],"['newSize', 'newArray', 'i']",[],BallSeq
"/*** Add a new element to this sequence, before the current element (if any).
* If the new element would take this sequence beyond its current capacity,
* then the capacity is increased before adding the new element.
* @param element
*   the new element that is being added
* @postcondition
*   A new copy of the element has been added to this sequence. If there was
*   a current element, then the new element is placed before the current
*   element. If there was no current element, then the new element is placed
*   at the end of the sequence. In all cases, the new element becomes the
*   new current element of this sequence.
* @exception OutOfMemoryError
*   Indicates insufficient memory for increasing the sequence's capacity.
**/","public void insert(Ball element)
{
assert wellFormed() : ""invariant failed at start of insert"";

ensureCapacity(manyItems + 1);

for(int i = manyItems; i > currentIndex; i--) {
data[i] = data[i-1];
}
data[currentIndex] = element;

manyItems++;

assert wellFormed() : ""invariant failed at end of insert"";
}",insert,Ball element,void,,"['wellFormed', 'ensureCapacity']",['i'],[],BallSeq
"/*** Set the radius of this ball.
* @param r new radius, must be positive.
*/","public void setRadius(int r) {
if (r <= 0) throw new IllegalArgumentException(""radius must be positive, not "" + r);
radius = r;
}",setRadius,int r,void,,['IllegalArgumentException'],[],['IllegalArgumentException'],Ball
